scene_idx,psnr_60view,psnr_49view,ssim_60view
0,41.31,41.36,0.9761
1,41.25,41.31,0.9844
2,40.21,40.29,0.9516
3,38.91,39.03,0.9526
4,36.16,36.26,0.9637
5,42.69,42.74,0.9782
6,36.98,37.05,0.9677
7,36.64,36.71,0.9736
8,34.41,34.40,0.9735
9,42.47,42.52,0.9808
10,45.92,46.01,0.9859
11,39.68,39.76,0.9741
12,37.57,37.66,0.9697
13,40.41,40.50,0.9706
14,43.81,43.91,0.9835
15,41.69,41.79,0.9863
16,42.67,42.78,0.9826
17,29.60,29.69,0.9366
18,32.57,32.57,0.9524
19,30.02,30.01,0.9488
20,32.65,32.65,0.9595
21,26.21,26.24,0.9356
22,28.94,28.99,0.9508
23,37.16,37.27,0.9806
24,34.41,34.55,0.9466
25,29.93,30.00,0.9588
26,31.17,31.22,0.9604
27,30.73,30.78,0.9504
28,34.61,34.62,0.9672
29,30.36,30.41,0.9627
avg,36.3713,36.4360,0.9655
